title,dialogue ratio,parenthetical ratio,words per line,dialogue sentiment,number of scenes,runtime,release,domestic
KUNG FU PANDA,0.813437662,0.097183099,17.71690141,0.050141477,61,91,2008,215434591
MUD,0.847482628,0.008348794,23.98423006,0.020050061,144,130,2013,21590086
THE NEXT THREE DAYS,0.220993219,0.131127451,7.149509804,0.068151134,354,122,2010,21148651
FANTASTIC MR. FOX,0.890378658,0.036144578,29.00301205,0.011689655,57,87,2009,21002919
SHERLOCK HOLMES,0.304594783,0.122961104,12.04391468,0.116715307,145,134,2009,209028679
CHAOS,0.432531998,0.150552486,12.64917127,0.072048109,164,109,2003,206789
THE KIDS ARE ALL RIGHT,0.425814307,0.11907387,7.711135612,0.110139353,107,106,2010,20811365
GAMER,0.204848296,0.180904523,8.832495812,0.034120701,157,95,2009,20534907
CODE OF SILENCE,0.861780105,0.251111111,34.74888889,-0.004790339,230,101,1985,20345361
MARTHA MARCY MAY MARLENE,0.80108592,0,14.16083009,0.057738261,106,120,2011,2990625
EXISTENZ,0.872549483,0.084450402,24.76005362,0.017962422,45,90,1999,2856712
THE POWER OF ONE,0.377113556,0.07957814,11.1409396,0.111795947,141,127,1992,2827107
HOW TO LOSE FRIENDS AND ALIENATE PEOPLE,0.790916375,0.049689441,19.41511387,0.055239497,117,110,2008,2778752
THE WAY BACK,0.741207088,0.008547009,27.58831909,0.009615521,194,119,2011,2701859
GINGER SNAPS,0.866678768,0.048177083,24.86848958,0.000441239,115,109,2001,2554
FROZEN RIVER,0.297570951,0.063758389,6.673378076,0.034994326,153,97,2008,2511476
IN THE LOOP,0.575050191,0.145334434,12.06275805,0.040718434,124,106,2009,2388804
SHALLOW GRAVE,0.860684941,0.014851485,19.5330033,0.025622098,193,94,1995,2079569
BRICK,0.809661437,0.129976581,20.66627635,0.013445612,123,110,2006,2075743
RUST AND BONE,0.856855499,0.001141553,20.90981735,0.021461687,141,120,2012,2062027
TWILIGHT,0.780194747,0.150326797,19.02723312,0.050431642,117,120,2008,192769854
NINE,0.318008676,0.134110787,5.84159378,0.148492717,146,110,2009,19676965
REMEMBER ME,0.32148001,0.056257176,7.431687715,0.093265215,129,128,2010,19068240
TAKING SIDES,0.881869908,0.148550725,24.70833333,0.076139188,62,109,2003,188952
INTERSTELLAR,0.876344237,0.04271632,34.18510405,0.036043698,247,169,2014,188020017
DANCES WITH WOLVES,0.905117445,0.051401869,51.73831776,0.044612801,275,183,1990,184208848
THE REVENANT,0.823677167,0.04109589,39.14481409,-0.016082424,147,151,2015,183637894
LINCOLN,0.816760225,0.043710021,23.8880597,0.020453361,102,145,2012,182207973
LIAR LIAR,0.774722624,0.147874307,13.35859519,0.087973973,81,86,1997,181410615
THOR,0.818686548,0.012345679,24.50617284,0.039137779,191,115,2011,181030624
ABOVE THE LAW,0.246739828,0.3152,11.08,0.049393827,185,99,1988,18869631
THE INVENTION OF LYING,0.844261931,0.040899796,19.44478528,0.083700526,72,100,2009,18451251
INTO THE WILD,0.285965684,0.18443804,13.11239193,0.087078122,256,140,2007,18354356
HAROLD AND KUMAR GO TO WHITE CASTLE,0.67314448,0.105616094,15.09807209,0.013495179,152,88,2004,18250550
INDIANA JONES AND THE TEMPLE OF DOOM,0.17699115,0.183544304,9.303797468,0.045581136,173,118,1984,179870271
RISE OF THE PLANET OF THE APES,0.742413581,0.025331725,20.36308806,0.011022456,235,110,2011,176760185
TRON LEGACY,0.32229031,0.013349515,8.169902913,0.091237917,135,125,2010,172062763
PUNCH-DRUNK LOVE,0.4757523,0.023809524,7.921325052,0.118484404,84,95,2002,17844216
THE RUINS,0.860542054,0.040955631,30.77588168,-0.003983926,75,97,2008,17432844
HUDSON HAWK,0.339750282,0.097709924,12.42137405,0.044959585,89,95,1991,17218080
THE HELP,0.831628485,0.003878976,19.7416602,0.036873502,193,137,2011,169708112
BRIDESMAIDS,0.807594027,0.004297994,14.48925501,0.086950896,103,125,2011,169106725
WILD HOGS,0.776674938,0.025565388,20.00491642,0.0762915,89,99,2007,168273550
CATCH ME IF YOU CAN,0.764771151,0.006815969,21.47614411,0.044391014,213,140,2002,164615351
THE PROPOSAL,0.819230611,0.063013699,18.22283105,0.082177262,102,108,2009,163958031
GO,0.277267264,0.108077361,8.135381115,0.071365249,180,98,1999,16943454
